datetime,Heating Setpoint (New),Cooling Setpoint (New),Heating Deadband Up,Heating Deadband Down,Cooling Deadband Up,Cooling Deadband Down
 09/11  2:51,10,35,0.4,0.6,0.4,0.6
 09/11  2:52,10,35,0.4,0.6,0.4,0.6
 09/11  2:53,10,35,0.4,0.6,0.4,0.6
 09/11  2:54,10,35,0.4,0.6,0.4,0.6
 09/11  2:55,10,35,0.4,0.6,0.4,0.6
 09/11  2:56,10,35,0.4,0.6,0.4,0.6
 09/11  2:57,10,35,0.4,0.6,0.4,0.6
 09/11  2:58,10,35,0.4,0.6,0.4,0.6
 09/11  2:59,10,35,0.4,0.6,0.4,0.6
 09/11  3:00,10,35,0.4,0.6,0.4,0.6
 09/11  3:01,10,35,0.4,0.6,0.4,0.6
 09/11  3:02,10,35,0.4,0.6,0.4,0.6
 09/11  3:03,10,35,0.4,0.6,0.4,0.6
 09/11  3:04,10,35,0.4,0.6,0.4,0.6
 09/11  3:05,10,35,0.4,0.6,0.4,0.6
 09/11  3:06,10,35,0.4,0.6,0.4,0.6
 09/11  3:07,10,35,0.4,0.6,0.4,0.6
 09/11  3:08,10,35,0.4,0.6,0.4,0.6
 09/11  3:09,10,35,0.4,0.6,0.4,0.6
 09/11  3:10,10,35,0.4,0.6,0.4,0.6
 09/11  3:11,10,35,0.4,0.6,0.4,0.6
 09/11  3:12,10,35,0.4,0.6,0.4,0.6
 09/11  3:13,10,35,0.4,0.6,0.4,0.6
 09/11  3:14,10,35,0.4,0.6,0.4,0.6
 09/11  3:15,10,35,0.4,0.6,0.4,0.6
 09/11  3:16,10,35,0.4,0.6,0.4,0.6
 09/11  3:17,10,35,0.4,0.6,0.4,0.6
 09/11  3:18,10,35,0.4,0.6,0.4,0.6
 09/11  3:19,10,35,0.4,0.6,0.4,0.6
 09/11  3:20,10,35,0.4,0.6,0.4,0.6
 09/11  3:21,10,35,0.4,0.6,0.4,0.6
 09/11  3:22,10,35,0.4,0.6,0.4,0.6
 09/11  3:23,10,35,0.4,0.6,0.4,0.6
 09/11  3:24,10,35,0.4,0.6,0.4,0.6
 09/11  3:25,10,35,0.4,0.6,0.4,0.6
 09/11  3:26,10,35,0.4,0.6,0.4,0.6
 09/11  3:27,10,35,0.4,0.6,0.4,0.6
 09/11  3:28,10,35,0.4,0.6,0.4,0.6
 09/11  3:29,10,35,0.4,0.6,0.4,0.6
 09/11  3:30,10,35,0.4,0.6,0.4,0.6
 09/11  3:31,10,35,0.4,0.6,0.4,0.6
 09/11  3:32,10,35,0.4,0.6,0.4,0.6
 09/11  3:33,10,35,0.4,0.6,0.4,0.6
 09/11  3:34,10,35,0.4,0.6,0.4,0.6
 09/11  3:35,10,35,0.4,0.6,0.4,0.6
 09/11  3:36,10,35,0.4,0.6,0.4,0.6
 09/11  3:37,10,35,0.4,0.6,0.4,0.6
 09/11  3:38,10,35,0.4,0.6,0.4,0.6
