datetime,Heating Setpoint (New),Cooling Setpoint (New),Heating Deadband Up,Heating Deadband Down,Cooling Deadband Up,Cooling Deadband Down
 01/03  03:34:00,18.93112807,30,1.5,1.5,1.5,1.5
 01/03  03:35:00,18.83146136,30,1.5,1.5,1.5,1.5
 01/03  03:36:00,18.73916878,30,1.5,1.5,1.5,1.5
 01/03  03:37:00,18.65396568,30,1.5,1.5,1.5,1.5
 01/03  03:38:00,18.57520171,30,1.5,1.5,1.5,1.5
 01/03  03:39:00,18.50238695,30,1.5,1.5,1.5,1.5
 01/03  03:40:00,18.43506706,30,1.5,1.5,1.5,1.5
 01/03  03:41:00,18.37272744,30,1.5,1.5,1.5,1.5
 01/03  03:42:00,18.33334872,30,1.5,1.5,1.5,1.5
 01/03  03:43:00,18.99657062,30,1.5,1.5,1.5,1.5
 01/03  03:44:00,19.81123398,30,1.5,1.5,1.5,1.5
 01/03  03:45:00,20.01570815,30,1.5,1.5,1.5,1.5
 01/03  03:46:00,19.88192734,30,1.5,1.5,1.5,1.5
 01/03  03:47:00,19.65834906,30,1.5,1.5,1.5,1.5
 01/03  03:48:00,19.45254533,30,1.5,1.5,1.5,1.5
 01/03  03:49:00,19.28481858,30,1.5,1.5,1.5,1.5
 01/03  03:50:00,19.14602597,30,1.5,1.5,1.5,1.5
 01/03  03:51:00,19.02507526,30,1.5,1.5,1.5,1.5
 01/03  03:52:00,18.91543574,30,1.5,1.5,1.5,1.5
 01/03  03:53:00,18.81402333,30,1.5,1.5,1.5,1.5
 01/03  03:54:00,18.7202214,30,1.5,1.5,1.5,1.5
 01/03  03:55:00,18.63375067,30,1.5,1.5,1.5,1.5
 01/03  03:56:00,18.55406909,30,1.5,1.5,1.5,1.5
 01/03  03:57:00,18.4804597,30,1.5,1.5,1.5,1.5
 01/03  03:58:00,18.41242616,30,1.5,1.5,1.5,1.5
 01/03  03:59:00,18.34950454,30,1.5,1.5,1.5,1.5
 01/03  04:00:00,18.33334747,30,1.5,1.5,1.5,1.5
 01/03  04:01:00,18.91296632,30,1.5,1.5,1.5,1.5
 01/03  04:02:00,19.69773112,30,1.5,1.5,1.5,1.5
 01/03  04:03:00,19.83276592,30,1.5,1.5,1.5,1.5
 01/03  04:04:00,19.55494242,30,1.5,1.5,1.5,1.5
 01/03  04:05:00,19.16520839,30,1.5,1.5,1.5,1.5
 01/03  04:06:00,18.80232571,30,1.5,1.5,1.5,1.5
 01/03  04:07:00,18.49486582,30,1.5,1.5,1.5,1.5
 01/03  04:08:00,18.33448605,30,1.5,1.5,1.5,1.5
 01/03  04:09:00,18.82493435,30,1.5,1.5,1.5,1.5
 01/03  04:10:00,19.55635121,30,1.5,1.5,1.5,1.5
 01/03  04:11:00,19.82848705,30,1.5,1.5,1.5,1.5
 01/03  04:12:00,19.59765192,30,1.5,1.5,1.5,1.5
 01/03  04:13:00,19.19057324,30,1.5,1.5,1.5,1.5
 01/03  04:14:00,18.79055071,30,1.5,1.5,1.5,1.5
 01/03  04:15:00,18.44931356,30,1.5,1.5,1.5,1.5
 01/03  04:16:00,18.33477001,30,1.5,1.5,1.5,1.5
 01/03  04:17:00,18.82246973,30,1.5,1.5,1.5,1.5
